time,n1,n2,weight
0,40,39,7.87668
0,24,19,14.425366
0,02,23,35.458504
0,29,31,16.592001
0,02,07,4.5602736
0,18,17,17.93289
0,24,30,0.43893266
0,19,33,30.398035
0,38,29,23.797916
0,12,13,6.864366
0,26,19,41.680832
0,07,25,0.3116982
0,39,05,7.967904
0,21,20,30.034966
0,11,06,20.180735
0,03,09,1.2313131
0,27,28,13.85225
0,02,24,31.332138
0,06,33,19.7672
0,18,23,32.387993
0,19,23,10.932988
0,05,23,24.23273
0,22,28,4.5093937
0,23,29,41.182476
0,18,24,7.6044335
0,38,33,38.513332
0,19,20,6.788815
0,25,28,9.881258
0,19,40,15.335159
0,28,19,0.5559707
0,21,12,34.24787
0,12,25,61.95372
0,25,01,24.977814
0,15,21,5.5732956
0,03,37,9.368548
0,01,05,19.162685
0,39,07,12.7429
0,27,32,46.430714
0,32,34,0.61595654
0,10,11,6.6883745
0,01,38,3.8094804
0,02,30,37.969673
0,27,14,6.4017506
0,05,07,13.777369
0,20,38,8.67666
0,29,09,1.9708395
0,29,26,4.690636
0,20,10,17.706602
0,16,22,50.66928
0,16,32,11.323299
0,25,20,8.382288
0,15,34,0.45510355
0,11,28,26.276043
0,35,34,2.4005136
0,07,28,8.065681
0,25,35,29.475637
0,25,36,12.621916
0,08,25,15.394631
0,34,18,38.518013
0,38,22,35.877045
0,03,08,16.132187
0,06,01,42.36361
0,14,11,6.111758
0,15,27,26.827099
0,03,10,9.336164
0,26,13,6.851209
0,20,19,6.788815
0,23,24,14.099396
0,07,40,27.206713
0,14,27,6.4017506
0,27,01,5.7590213
0,33,34,39.11075
0,13,36,29.324402
0,01,25,24.977814
0,08,15,7.356591
0,19,11,12.654367
0,24,13,25.883509
0,34,26,0.45422462
0,22,17,24.406792
0,14,26,18.942799
0,25,21,28.892576
0,30,22,5.0015593
0,32,27,46.430714
0,22,37,43.094078
0,11,23,24.73773
0,32,37,23.278996
0,24,40,38.485065
0,39,06,1.421875
0,09,10,25.363997
0,31,13,0.88009757
0,27,38,13.453508
0,26,05,25.00543
0,29,12,36.55572
0,19,31,20.567865
0,13,24,25.883509
0,35,26,12.137966
0,30,40,27.57656
0,06,29,7.613355
0,33,26,6.2680335
0,36,40,21.446636
0,29,15,18.916477
0,14,38,26.526258
0,28,34,55.523277
0,18,01,25.462387
0,34,38,47.572075
0,02,32,22.560978
0,35,40,5.6462984
0,22,23,13.309435
0,16,09,39.24778
0,07,31,5.376119
0,17,08,24.683432
0,19,24,14.425366
0,03,02,36.51979
0,27,07,43.212627
0,11,36,15.692714
0,08,07,29.740517
0,06,07,33.837555
1,15,08,17.781023
1,34,09,47.13067
1,04,29,29.643322
1,25,12,4.6585274
1,14,30,10.48524
1,11,23,5.13754
1,17,21,5.089972
1,33,16,12.2416115
1,40,09,0.49667045
1,20,28,10.401811
1,27,13,14.788548
1,17,25,1.8633041
1,04,16,0.50786906
1,07,32,30.899414
1,34,20,12.110826
1,31,23,6.0461583
1,13,10,7.00832
1,15,02,40.98467
1,20,33,30.539248
1,02,07,12.069861
1,37,07,4.251971
1,16,19,1.1512167
1,12,34,26.19066
1,05,35,49.714466
1,26,20,5.2108808
1,30,34,56.664387
1,23,15,38.98985
1,39,14,71.45774
1,02,33,16.645737
1,13,17,54.853226
1,09,12,53.787518
1,31,22,4.2239866
1,15,17,9.947336
1,08,17,35.769295
1,40,37,23.792322
1,30,38,40.071407
1,14,29,50.980927
1,02,37,1.1698709
1,23,16,35.231697
1,29,05,44.124718
1,30,36,16.488523
1,10,38,9.393078
1,03,31,22.246431
1,01,21,34.744576
1,33,36,14.785526
1,20,21,0.30382276
1,21,19,0.925392
1,08,25,18.454517
1,05,17,22.670246
1,24,30,29.545212
1,27,04,18.715475
1,25,09,2.4937427
1,28,29,15.692412
1,32,12,20.398657
1,26,06,19.89043
1,20,17,32.433674
1,32,27,39.606186
1,06,21,11.290209
1,08,28,10.600284
1,25,11,5.096434
1,23,08,16.996313
1,23,31,6.0461583
1,10,33,33.80111
1,26,29,10.888361
1,31,19,16.0006
1,04,37,10.151649
1,07,25,33.989346
1,36,37,8.184375
1,24,01,21.856981
1,19,07,19.045004
1,07,35,26.364779
1,02,12,15.593614
1,20,34,12.110826
1,30,18,2.9151547
1,35,16,60.33291
1,15,31,29.395882
1,27,20,20.034973
1,37,27,27.666975
1,05,27,10.410205
1,23,18,11.016537
1,39,30,34.944344
1,19,36,4.910793
1,13,16,29.041412
1,10,25,2.3303194
1,19,13,14.770745
1,19,05,0.47810254
1,33,01,28.574026
1,34,17,12.357096
1,11,17,50.697105
1,02,26,11.771209
1,32,34,11.75931
1,40,21,10.386329
1,04,07,15.920414
1,20,32,37.16719
1,09,37,37.928143
1,14,12,12.642015
1,35,39,16.773634
1,22,34,6.5324707
